,geonames_id,lat,lon,Unnamed: 0,price_usd_per_m2,property_type,geometry,min_dist_to_subte,min_dist_to_espacio_verde,min_dist_to_tren,min_dist_to_cultura,min_dist_to_salud_privada,min_dist_to_clubes,min_dist_to_comisaria,min_dist_to_espacio_educativo,min_dist_to_ecobici,min_dist_to_ferederaciones,min_dist_to_hospitales,min_dist_to_universidades,min_dist_to_metrobus,min_dist_to_ferias,min_dist_to_org_sociales,min_dist_to_estacionamiento,min_dist_to_polideportivo,min_dist_to_garage_comercial,min_dist_to_zona_anegamiento
0,3436077.0,-34.5598729,-58.443362,7,3066.666666666666,apartment,POINT (101829.8721593352 107698.3226179812),1068.5959668399487,136.9950478845717,525.9575578510818,356.4257598207522,309.7516658547355,115.16486210943337,564.0950278703793,98.05603081413011,202.6061609749178,1349.175814319088,697.8890412481712,630.7572600914763,1021.6068211345529,1081.6581640480404,5009.674146652722,1111.1251690835065,826.0357859695625,109.03172481888785,85.57565954632334
1,3436077.0,-34.5598729,-58.443362,8,3000.0,apartment,POINT (101829.8721593352 107698.3226179812),1068.5959668399487,136.9950478845717,525.9575578510818,356.4257598207522,309.7516658547355,115.16486210943337,564.0950278703793,98.05603081413011,202.6061609749178,1349.175814319088,697.8890412481712,630.7572600914763,1021.6068211345529,1081.6581640480404,5009.674146652722,1111.1251690835065,826.0357859695625,109.03172481888785,85.57565954632334
2,3430234.0,-34.580503566,-58.4058744847,19,3365.384615384615,apartment,POINT (105269.1045548608 105408.3368966893),991.6049457918305,128.56554872765616,1978.7136967011336,94.10089980771325,75.45532319483782,1071.3948029082524,719.3003759400658,163.31762432570122,227.54182307205747,1396.0103472532687,117.30717245263243,614.4162463085739,1500.4896347705132,1358.5129753259328,1361.6431091439874,706.7158625935729,943.1701599699679,159.50026290519148,665.0941924210196
3,3430234.0,-34.590926,-58.411665299999996,21,2292.372881355933,apartment,POINT (104737.1741130735 104252.4056734801),300.23368167891783,109.45203824539307,1910.4587426765004,26.12993441043488,147.47341828260633,534.2184192021952,527.672388200855,25.97344282964011,93.28470156705508,782.9920796658528,364.21096483223926,533.8976366909848,1494.3078363882917,1243.2005944166347,561.4086316725246,255.8001732114258,2215.476797037868,66.81769180802978,1372.2345351887955
4,3436077.0,-34.5639725,-58.456534999999995,57,8333.333333333334,store,POINT (100620.8485162435 107243.6929850623),184.57889173215133,193.00901658838208,662.4561804753334,15.13469483653362,849.5585842599897,900.1357897223038,425.249969394074,152.30882782484883,203.90265597493183,880.1561157503933,1340.0310454200855,1268.1259427339191,117.2088427599662,284.9705574669299,5633.661020354152,1132.870794310244,2033.80278628508,56.22227165562851,0.0
5,3436077.0,-34.5626966465,-58.4601567114,120,,apartment,POINT (100288.4753677377 107385.2462306916),339.3274693329046,97.36808663729931,612.9717994209202,169.52078116931023,1196.6213248442891,1163.3740561055115,454.3284262177265,47.704226316821156,169.56779686154977,545.3507247731307,1035.7991538644142,1373.1172742789995,308.6798319887363,486.2206234647073,5988.09542103751,1141.729470797267,2340.2284540550777,102.0423964268433,0.0
6,3436109.0,-34.594304,-58.403684999999996,178,,apartment,POINT (105469.0975086474 103877.261483302),119.08154546147796,154.57157207327248,1660.9314640272344,29.172205769079255,181.2831512963303,809.4970815459615,279.4888628143035,37.3589118768279,216.59157521210042,831.5607459168427,769.3505035090857,279.03456106209495,1681.8861808318568,762.795312469395,269.497732491351,375.9228430842284,2403.0456587651647,46.1157955219719,1184.3461090320802
7,3429595.0,-34.599427399999996,-58.401585600000004,200,1938.7755102040808,apartment,POINT (105661.3494971982 103308.7775304008),223.66358943634899,205.93087853492585,1221.825138278863,14.07716363766794,91.39606977320508,449.02244120738465,475.05974718333846,55.57019834662871,261.64065073653757,768.6465416731703,1123.5757528441393,32.37006297962834,1206.2260743035522,310.9679560881752,746.4314316853702,299.0851447264929,2965.2365372380036,58.950891119500234,980.3155735553058
8,3430234.0,-34.585483,-58.428493,203,1312.5,PH,POINT (103193.5416901081 104856.8891143726),807.6450090012657,117.08241948975322,653.3466829427413,38.52556335927011,506.4791053756663,379.5466205639861,1179.5767974101068,163.66299039563702,250.03305998969194,876.0508324559014,1789.870434734564,713.5431715780833,408.1359280021143,394.631700301342,2219.1778859770675,420.1007782141355,1628.1188219720523,196.2927768256008,783.8674642033292
9,3436077.0,-34.562084399999996,-58.456686399999995,210,4210.526315789473,apartment,POINT (100606.9677067989 107453.1504655124),30.80664112996873,73.79630571782519,798.4242615656261,24.001446076374734,955.0820096038091,873.6164207451027,218.30675249194869,243.91067662932747,153.02457085684526,749.7839162443646,1361.1992746508715,1206.3370472495471,82.42162888007829,160.6042178142431,5766.301778787172,937.047439605997,2073.2693120537565,89.11416405697885,4.760987247446831
10,3436077.0,-34.5621457,-58.449656999999995,216,3437.5,apartment,POINT (101252.0948303624 107446.285449762),505.11148256079986,110.99098804356208,376.69703166306937,138.93157217577493,343.89466349413345,237.17709058466204,647.5149107209019,67.02446129057006,284.15533955325003,1321.093628740029,1212.6416583756359,729.7386660035406,506.9319372744502,490.95184073063297,5255.158284835304,949.9053868183764,1447.8985544728555,109.21440562224231,280.38137943119835
11,3436077.0,-34.565318065999996,-58.44175186020001,219,3548.3870967741937,apartment,POINT (101977.5188859601 107094.2322699584),585.5009600751446,234.10411311347983,978.9463880775905,166.09704324836812,560.0721682762263,495.8752925601325,922.8175132478613,78.77706159434268,295.9025768986588,734.2142689986576,1269.0073331693425,84.60157161208598,587.2868250769067,1277.4201427070323,4478.728785295242,1166.8837894494595,1010.6113689204805,270.6266783810398,88.04642409793283
